item_id,title,current_tags,suggested_add_tags,suggested_folder,suggested_correspondent,confidence,reason,source_query
582hXAudNpy-F5iAVHk9hvE-yRLYPtK74tn-MTKF3cU24ha,13571650-Alan-Greenspan-The-Age-of-Turbulence.pdf,,bank;contract;insurance;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
DoBstVd3g4t-pqLYBPZpyUQ-XTYhi6RSK2U-TXsFr2AFDkH,13673679--Greenspans-Monetary-Policy-in-Retrospect-Cato-Briefing-Paper-No-109-.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
CSTq92hpaSd-tFw6NMJbTDK-V12znxLesdV-Zqgc6wY86fp,192230-GOLD-AND-ECONOMIC-FREEDOM-Alan-Greenspan.pdf,,contract;insurance,,,0.70,matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; inbox:yes"
BdeC46ZUXxR-kBZojcwNn7X-hi434vtJJL9-5w4xxDD5Bgc,21 Books The Ruling Elite Doesnt Want You To Read.doc,,contract;insurance,,,0.70,matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; inbox:yes"
8aEaBEWMwJt-DiUQZPYzorC-2emaqnivt2Q-L5DGm7iz9wx,25023567-Glossary-of-Statistical-Terms.pdf,,bank;contract;insurance;invoice;receipt,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched receipt/kasov search,"!exist:folder; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
3C5qqqZRdUJ-PWDhZXP3odF-tKfaxpPexv3-j4g1bgUVwmD,29547698-Testimony-of-Alan-Greenspan-to-the-Financial-Crisis-Inquiry-Commission.pdf,,bank;contract;insurance,,,0.70,matched bank statement search; matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; content:""statement""; inbox:yes"
83WPgdU1Z8m-1MZd2AvFKRj-DkUewvCppQE-SZZU95cdk75,33242148-Understanding-Economic-Statistics.pdf,,bank;contract;insurance;invoice;receipt;telecom,,A1,0.85,matched bank statement search; matched contract/dogovor search; matched insurance/policy search; matched invoice/faktura search; matched obvious A1 signal; matched receipt/kasov search,"!exist:folder; content:""A1""; content:""contract""; content:""invoice""; content:""policy""; content:""receipt""; content:""statement""; inbox:yes"
DRS5dE38aSH-kastHusCye3-s7cvufbG7hC-feADmCs2PC7,38639001-The-Crisis-Alan-Greenspan.pdf,,contract,,,0.70,matched contract/dogovor search,"!exist:folder; content:""contract""; inbox:yes"
4cpYWbwkPuD-87nkCHF8Jfp-ehN8DWAYcqn-LnSEnjr2ygY,39100218-Alesina-Alberto-Et-Al-2010-Fiscal-Adjustments-Lessons-From-Recent-History.pdf,,contract;insurance,,,0.70,matched contract/dogovor search; matched insurance/policy search,"!exist:folder; content:""contract""; content:""policy""; inbox:yes"
CEoC7vkxWts-gLraSryzZ3P-ZWf6zt5ePBU-Noc1MRnNrD1,39192373-Alesina-The-Evolution-of-Ideology-Fairness-and-Redistribution.pdf,,insurance,,,0.70,matched insurance/policy search,"!exist:folder; content:""policy""; inbox:yes"
